city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Luxembourg,49.6117,6.1319,Luxembourg,LU,Luxembourg,primary,132780,132780
Esch-sur-Alzette,49.4969,5.9806,Luxembourg,LU,Esch-sur-Alzette,admin,36228,36177
Dudelange,49.4833,6.0833,Luxembourg,LU,Esch-sur-Alzette,minor,21513,21513
Differdange,49.5222,5.8917,Luxembourg,LU,Esch-sur-Alzette,minor,15455,15455
Belvaux,49.5167,5.9333,Luxembourg,LU,Esch-sur-Alzette,,7826,7826
Rodange,49.5467,5.8397,Luxembourg,LU,Esch-sur-Alzette,,7485,7485
Niedercorn,49.5333,5.9000,Luxembourg,LU,Esch-sur-Alzette,,7354,7354
Diekirch,49.8681,6.1567,Luxembourg,LU,Diekirch,admin,7047,7047
Soleuvre,49.5333,5.9333,Luxembourg,LU,Esch-sur-Alzette,,6248,6248
Bascharage,49.5667,5.9167,Luxembourg,LU,Capellen,minor,5715,5715
Echternach,49.8117,6.4217,Luxembourg,LU,Echternach,admin,5705,5705
Kayl,49.4861,6.0389,Luxembourg,LU,Esch-sur-Alzette,minor,5658,5658
Steinfort,49.6600,5.9156,Luxembourg,LU,Capellen,minor,5617,5617
Rumelange,49.4597,6.0306,Luxembourg,LU,Esch-sur-Alzette,minor,5613,5613
Wiltz,49.9667,5.9333,Luxembourg,LU,Wiltz,admin,5427,5427
Mondorf-les-Bains,49.5069,6.2806,Luxembourg,LU,Remich,minor,5404,5404
Grevenmacher,49.6806,6.4417,Luxembourg,LU,Grevenmacher,admin,4981,4981
Frisange,49.5150,6.1917,Luxembourg,LU,Esch-sur-Alzette,minor,4769,4769
Obercorn,49.5167,5.9000,Luxembourg,LU,Esch-sur-Alzette,,4613,4613
Béreldange,49.6500,6.1333,Luxembourg,LU,Luxembourg,,4454,4454
Tétange,49.4767,6.0394,Luxembourg,LU,Esch-sur-Alzette,,4010,4010
Remich,49.5444,6.3667,Luxembourg,LU,Remich,admin,3825,3825
Sandweiler,49.6133,6.2189,Luxembourg,LU,Luxembourg,minor,3579,3579
Junglinster,49.7111,6.2514,Luxembourg,LU,Grevenmacher,minor,3576,3576
Wasserbillig,49.7167,6.5000,Luxembourg,LU,Grevenmacher,,3160,3160
Bridel,49.6500,6.0833,Luxembourg,LU,Capellen,,3152,3152
Lamadelaine,49.5500,5.8500,Luxembourg,LU,Esch-sur-Alzette,,3022,3022
Helmsange,49.6500,6.1333,Luxembourg,LU,Luxembourg,,2928,2928
Hesperange,49.5708,6.1514,Luxembourg,LU,Luxembourg,minor,2804,2804
Fentange,49.5667,6.1500,Luxembourg,LU,Luxembourg,,2658,2658
Itzig,49.5833,6.1667,Luxembourg,LU,Luxembourg,,2360,2360
Alzingen,49.5667,6.1667,Luxembourg,LU,Luxembourg,,2224,2224
Vianden,49.9336,6.2075,Luxembourg,LU,Vianden,admin,2161,2161
Rollingen,49.7400,6.1128,Luxembourg,LU,Mersch,,2155,2155
Eischen,49.6844,5.8781,Luxembourg,LU,Capellen,,2086,2086
Schieren,49.8306,6.0986,Luxembourg,LU,Diekirch,minor,2062,2062
Roodt-sur-Syre,49.6667,6.3000,Luxembourg,LU,Grevenmacher,,2019,2019
Capellen,49.6444,5.9897,Luxembourg,LU,Capellen,admin,1986,1986
Clemency,49.5958,5.8750,Luxembourg,LU,Capellen,,1979,1979
Heisdorf,49.6730,6.1390,Luxembourg,LU,Luxembourg,,1853,1853
Hautcharage,49.5761,5.9100,Luxembourg,LU,Capellen,,1797,1797
Hobscheid,49.6883,5.9150,Luxembourg,LU,Capellen,minor,1793,1793
Gonderange,49.6917,6.2492,Luxembourg,LU,Grevenmacher,,1780,1780
Larochette,49.7836,6.2194,Luxembourg,LU,Mersch,minor,1685,1685
Aspelt,49.5167,6.2167,Luxembourg,LU,Esch-sur-Alzette,,1667,1667
Dalheim,49.5431,6.2583,Luxembourg,LU,Remich,minor,1635,1635
Canach,49.6000,6.3333,Luxembourg,LU,Remich,,1634,1634
Schouweiler,49.5833,5.9500,Luxembourg,LU,Capellen,,1603,1603
Contern,49.5847,6.2264,Luxembourg,LU,Luxembourg,minor,1587,1587
Mertert,49.7014,6.4806,Luxembourg,LU,Grevenmacher,minor,1533,1533
Crauthem,49.5333,6.1500,Luxembourg,LU,Esch-sur-Alzette,,1525,1525
Bergem,49.5167,6.0500,Luxembourg,LU,Esch-sur-Alzette,,1515,1515
Clervaux,50.0500,6.0333,Luxembourg,LU,Clervaux,admin,1468,1468
Warken,49.8589,6.0906,Luxembourg,LU,Diekirch,,1444,1444
Berdorf,49.8208,6.3486,Luxembourg,LU,Echternach,minor,1439,1439
Medernach,49.8100,6.2150,Luxembourg,LU,Diekirch,minor,1417,1417
Moutfort,49.5861,6.2583,Luxembourg,LU,Luxembourg,,1406,1406
Weiswampach,50.1372,6.0750,Luxembourg,LU,Clervaux,minor,1386,1386
Olm,49.6500,6.0000,Luxembourg,LU,Capellen,,1375,1375
Tuntange,49.7178,6.0103,Luxembourg,LU,Mersch,minor,1333,1321
Berchem,49.5333,6.1333,Luxembourg,LU,Esch-sur-Alzette,,1316,1316
Koerich,49.6667,5.9500,Luxembourg,LU,Capellen,minor,1314,1314
Bettendorf,49.8833,6.2167,Luxembourg,LU,Diekirch,minor,1293,1293
Bettange-sur-Mess,49.5833,5.9833,Luxembourg,LU,Capellen,,1277,1277
Garnich,49.6150,5.9506,Luxembourg,LU,Capellen,minor,1277,1277
Heffingen,49.7667,6.2333,Luxembourg,LU,Mersch,minor,1164,1164
Müllendorf,49.6833,6.1333,Luxembourg,LU,Luxembourg,,1142,1142
Hosingen,50.0139,6.0903,Luxembourg,LU,Clervaux,minor,1142,1142
Pontpierre,49.5333,6.0333,Luxembourg,LU,Esch-sur-Alzette,,1122,1122
Nospelt,49.6833,6.0167,Luxembourg,LU,Capellen,,1121,1121
Kleinbettingen,49.6458,5.9155,Luxembourg,LU,Capellen,,1107,1107
Weiler-la-Tour,49.5425,6.1997,Luxembourg,LU,Luxembourg,minor,1094,1094
Gilsdorf,49.8667,6.1833,Luxembourg,LU,Diekirch,,1088,1088
Beringen,49.7600,6.1200,Luxembourg,LU,Mersch,,1055,1055
Noertzange,49.5167,6.0500,Luxembourg,LU,Esch-sur-Alzette,,1045,1045
Dippach,49.5875,5.9833,Luxembourg,LU,Capellen,minor,1037,1037
Berbourg,49.7333,6.4000,Luxembourg,LU,Grevenmacher,,1032,1032
Reckange,49.7516,6.0858,Luxembourg,LU,Mersch,,1027,1027
Grosbous,49.8333,5.9667,Luxembourg,LU,Redange,minor,991,991
Ehlerange,49.5167,5.9667,Luxembourg,LU,Esch-sur-Alzette,,984,984
Bivange,49.5500,6.1333,Luxembourg,LU,Esch-sur-Alzette,,958,958
Greiveldange,49.5833,6.3667,Luxembourg,LU,Remich,,958,958
Mensdorf,49.6500,6.3000,Luxembourg,LU,Grevenmacher,,951,951
Eschdorf,49.8833,5.9333,Luxembourg,LU,Wiltz,,895,895
Ehnen,49.6000,6.3833,Luxembourg,LU,Grevenmacher,,893,893
Perlé,49.8167,5.7667,Luxembourg,LU,Redange,,883,883
Elvange,49.5053,6.3160,Luxembourg,LU,Remich,,855,855
Oetrange,49.6000,6.2667,Luxembourg,LU,Luxembourg,,843,843
Hellange,49.5000,6.1500,Luxembourg,LU,Esch-sur-Alzette,,841,841
Rosport,49.7978,6.5042,Luxembourg,LU,Echternach,minor,836,836
Beckerich,49.7306,5.8833,Luxembourg,LU,Redange,minor,834,834
Rameldange,49.6500,6.2333,Luxembourg,LU,Luxembourg,,833,833
Reisdorf,49.8667,6.2667,Luxembourg,LU,Diekirch,minor,830,830
Schrassig,49.6094,6.2583,Luxembourg,LU,Luxembourg,,812,812
Peppange,49.5167,6.1333,Luxembourg,LU,Esch-sur-Alzette,,809,809
Christnach,49.7833,6.2667,Luxembourg,LU,Echternach,,793,793
Keispelt,49.7000,6.0667,Luxembourg,LU,Capellen,,791,791
Altwies,49.5167,6.2500,Luxembourg,LU,Remich,,788,788
Bourglinster,49.7000,6.2167,Luxembourg,LU,Grevenmacher,,786,786
Ingeldorf,49.8500,6.1333,Luxembourg,LU,Diekirch,,774,774
Bofferdange,49.6833,6.1333,Luxembourg,LU,Mersch,,772,772
Marnach,50.0500,6.0667,Luxembourg,LU,Clervaux,,752,752
Oberanven,49.6500,6.2333,Luxembourg,LU,Luxembourg,,739,739
Remerschen,49.4833,6.3500,Luxembourg,LU,Remich,,738,738
Münsbach,49.6333,6.2667,Luxembourg,LU,Luxembourg,,735,735
Helmdange,49.6833,6.1500,Luxembourg,LU,Mersch,,717,717
Syren,49.5667,6.2167,Luxembourg,LU,Luxembourg,,709,709
Senningen,49.6458,6.2392,Luxembourg,LU,Luxembourg,,694,694
Huncherange,49.5167,6.0667,Luxembourg,LU,Esch-sur-Alzette,,686,686
Weidingen,49.9667,5.9500,Luxembourg,LU,Wiltz,,686,686
Cruchten,49.8000,6.1333,Luxembourg,LU,Mersch,,679,679
Goeblange,49.6667,5.9667,Luxembourg,LU,Capellen,,674,674
Bech-Kleinmacher,49.5333,6.3500,Luxembourg,LU,Remich,,664,664
Wellenstein,49.5250,6.3417,Luxembourg,LU,Remich,,662,662
Gosseldange,49.7333,6.1167,Luxembourg,LU,Mersch,,659,659
Erpeldange,49.5448,6.3266,Luxembourg,LU,Remich,,657,657
Hassel,49.5500,6.2167,Luxembourg,LU,Luxembourg,,653,653
Oberfeulen,49.8500,6.0333,Luxembourg,LU,Diekirch,,646,646
Steinheim,49.8167,6.4833,Luxembourg,LU,Echternach,,644,644
Heiderscheid,49.8872,5.9785,Luxembourg,LU,Wiltz,,619,619
Heinerscheid,50.0958,6.0875,Luxembourg,LU,Clervaux,,616,616
Linger,49.5667,5.8833,Luxembourg,LU,Capellen,,609,609
Holzem,49.6167,5.9833,Luxembourg,LU,Capellen,,601,601
Godbrange,49.7333,6.2333,Luxembourg,LU,Grevenmacher,,600,600
Noerdange,49.7500,5.9333,Luxembourg,LU,Redange,,599,599
Bastendorf,49.9000,6.1667,Luxembourg,LU,Vianden,,597,597
Flaxweiler,49.6653,6.3431,Luxembourg,LU,Grevenmacher,minor,564,564
Bigonville,49.8500,5.8000,Luxembourg,LU,Redange,,546,546
Harlange,49.9333,5.7833,Luxembourg,LU,Wiltz,,546,546
Sprinckange,49.5796,5.9656,Luxembourg,LU,Capellen,,544,544
Burden,49.8833,6.1000,Luxembourg,LU,Diekirch,,537,537
Pratz,49.8000,5.9333,Luxembourg,LU,Redange,,533,533
Everlange,49.7667,5.9500,Luxembourg,LU,Redange,,533,533
Foetz,49.5167,6.0167,Luxembourg,LU,Esch-sur-Alzette,,532,532
Machtum,49.6579,6.4284,Luxembourg,LU,Grevenmacher,,530,530
Hunsdorf,49.7000,6.1333,Luxembourg,LU,Mersch,,528,528
Rambrouch,49.8299,5.8498,Luxembourg,LU,Redange,minor,528,528
Platen,49.7833,5.9333,Luxembourg,LU,Redange,,521,521
Blaschette,49.7000,6.1667,Luxembourg,LU,Mersch,,519,519
Ell,49.7667,5.8500,Luxembourg,LU,Redange,minor,515,515
Scheidgen,49.7667,6.3667,Luxembourg,LU,Echternach,,513,513
Ernzen,49.7667,6.2167,Luxembourg,LU,Mersch,,512,512
Olingen,49.6833,6.3167,Luxembourg,LU,Grevenmacher,,504,504
Stegen,49.8300,6.1719,Luxembourg,LU,Diekirch,,504,504
Filsdorf,49.5339,6.2471,Luxembourg,LU,Remich,,503,503
Wolwelange,49.8286,5.7647,Luxembourg,LU,Redange,,503,503
Dahlem,49.5978,5.9458,Luxembourg,LU,Capellen,,501,501
Moestroff,49.8667,6.2333,Luxembourg,LU,Diekirch,,499,499
Buschdorf,49.7500,6.0000,Luxembourg,LU,Mersch,,498,498
Eselborn,50.0667,6.0000,Luxembourg,LU,Clervaux,,490,490
Gostingen,49.6167,6.3500,Luxembourg,LU,Grevenmacher,,489,489
Wintrange,49.5000,6.3500,Luxembourg,LU,Remich,,488,488
Angelsberg,49.7630,6.1580,Luxembourg,LU,Mersch,,482,482
Wahlhausen,49.9833,6.1333,Luxembourg,LU,Clervaux,,465,465
Hoscheid,49.9472,6.0806,Luxembourg,LU,Diekirch,,465,465
Bourscheid,49.9092,6.0628,Luxembourg,LU,Diekirch,minor,464,464
Osweiler,49.7833,6.4333,Luxembourg,LU,Echternach,,461,461
Baschleiden,49.9000,5.8167,Luxembourg,LU,Wiltz,,451,451
Huldange,50.1667,6.0167,Luxembourg,LU,Clervaux,,443,443
Nocher,49.9500,5.9833,Luxembourg,LU,Wiltz,,442,442
Ermsdorf,49.8289,6.2214,Luxembourg,LU,Diekirch,,442,442
Niederdonven,49.6333,6.4000,Luxembourg,LU,Grevenmacher,,441,441
Erpeldange,49.9779,5.9461,Luxembourg,LU,Wiltz,,438,438
Niederpallen,49.7500,5.9167,Luxembourg,LU,Redange,,438,438
Schwebsange,49.5167,6.3500,Luxembourg,LU,Remich,,434,434
Bech,49.7528,6.3611,Luxembourg,LU,Echternach,minor,433,433
Asselborn,50.0962,5.9752,Luxembourg,LU,Clervaux,,432,432
Oberpallen,49.7333,5.8500,Luxembourg,LU,Redange,,423,423
Doncols,49.9667,5.8333,Luxembourg,LU,Wiltz,,422,422
Hostert,49.8087,5.8659,Luxembourg,LU,Redange,,418,418
Fingig,49.6000,5.9000,Luxembourg,LU,Capellen,,417,417
Moersdorf,49.7456,6.5006,Luxembourg,LU,Echternach,,415,415
Haller,49.8167,6.2833,Luxembourg,LU,Echternach,,415,415
Folschette,49.8167,5.8667,Luxembourg,LU,Redange,,414,414
Fouhren,49.9167,6.2000,Luxembourg,LU,Vianden,,409,409
Bettborn,49.8000,5.9333,Luxembourg,LU,Redange,minor,406,406
Ospern,49.7833,5.9000,Luxembourg,LU,Redange,,405,405
Hollenfels,49.7167,6.0500,Luxembourg,LU,Mersch,,405,405
Beyren,49.6333,6.3333,Luxembourg,LU,Grevenmacher,,404,404
Boxhorn,50.0827,5.9924,Luxembourg,LU,Clervaux,,404,404
Schrondweiler,49.8000,6.1667,Luxembourg,LU,Mersch,,403,403
Born,49.7500,6.5167,Luxembourg,LU,Echternach,,400,400
Arsdorf,49.8667,5.8500,Luxembourg,LU,Redange,,399,399
Eschweiler,49.9972,5.9472,Luxembourg,LU,Wiltz,,397,397
Ernster,49.6833,6.2500,Luxembourg,LU,Luxembourg,,395,395
Hovelange,49.7167,5.9000,Luxembourg,LU,Redange,,395,395
Fennange,49.5167,6.0833,Luxembourg,LU,Esch-sur-Alzette,,393,393
Fischbach,49.7333,6.1833,Luxembourg,LU,Mersch,minor,379,379
Moesdorf,49.7667,6.1167,Luxembourg,LU,Mersch,,378,378
Nothum,49.9333,5.8833,Luxembourg,LU,Wiltz,,375,375
Livange,49.5333,6.1167,Luxembourg,LU,Esch-sur-Alzette,,369,369
Septfontaines,49.7011,5.9672,Luxembourg,LU,Capellen,minor,366,366
Tarchamps,49.9494,5.7947,Luxembourg,LU,Wiltz,,362,362
Dahl,49.9333,5.9833,Luxembourg,LU,Wiltz,,360,360
Trintange,49.5667,6.2833,Luxembourg,LU,Remich,,355,355
Reuland,49.7500,6.2667,Luxembourg,LU,Mersch,,354,354
Wormeldange,49.6102,6.3995,Luxembourg,LU,Grevenmacher,minor,346,346
Wilwerdange,50.1333,6.0167,Luxembourg,LU,Clervaux,,340,340
Schoos,49.7500,6.1667,Luxembourg,LU,Mersch,,338,338
Meispelt,49.6833,6.0667,Luxembourg,LU,Capellen,,335,335
Roedgen,49.5744,6.0342,Luxembourg,LU,Esch-sur-Alzette,,335,335
